subject,run,task,formation,light_position,angle,response,RT,correct
2,4,1,3,1,1,1,0.466863858000579,1
2,4,1,3,1,2,1,0.488908115999948,1
2,5,2,2,2,1,2,1.08378790000006,1
2,5,2,2,1,2,1,0.426876692000405,1
2,5,2,2,1,2,1,0.396731355000156,1
2,5,2,2,2,1,2,0.517864186000224,1
2,5,2,2,1,1,1,0.814904857000329,1
2,5,2,2,1,1,1,0.587826640999992,1
2,5,2,2,2,2,2,0.833421571999679,1
2,5,2,2,2,2,2,0.366682502000003,1
2,5,2,3,2,2,2,0.965653149999525,1
2,5,2,3,1,1,1,0.731431721999797,1
2,5,2,3,1,2,1,0.997382837000259,1
2,5,2,3,2,1,2,0.422137906999524,1
2,5,2,3,2,1,2,0.316835092000474,1
2,5,2,3,1,2,1,0.522162287000356,1
2,5,2,3,1,1,1,0.535691162999683,1
2,5,2,3,2,2,2,0.636828389000584,1
2,5,2,1,1,2,1,0.511376726999515,1
2,5,2,1,1,1,1,0.352727055000287,1
2,5,2,1,2,1,2,0.291724194999915,1
2,5,2,1,2,1,2,0.363921496999865,1
2,5,2,1,2,2,2,0.490035433999765,1
2,5,2,1,1,2,1,0.48631372699947,1
2,5,2,1,1,1,1,0.451714312999684,1
2,5,2,1,2,2,2,0.623198837999553,1
2,5,2,4,2,1,2,0.770854677999523,1
2,5,2,4,1,2,1,0.533771211000385,1
2,5,2,4,2,2,2,0.665138575999663,1
2,5,2,4,1,2,1,0.784229144999699,1
2,5,2,4,1,1,1,0.720304078000481,1
2,5,2,4,2,1,2,0.627664144999471,1
2,5,2,4,2,2,2,0.478919298999244,1
2,5,2,4,1,1,1,0.824729597999976,1
2,6,1,4,2,1,2,0.69163630300045,1
2,6,1,4,2,1,2,0.346646003000387,1
2,6,1,4,2,2,2,0.766177027000595,1
2,6,1,4,1,1,1,0.492092567999862,1
